ID,adj.P.Val,P.Value,t,B,logFC,GI,Gene.symbol,Gene.title,,,,,,,,,,,,
ILMN_1883326,0.0088764,1.10E-04,-4.04905763,0.77413,-1.15E-01,8124852,,,,,,,,,,,,,,
ILMN_1693905,0.0105967,1.58E-04,3.94779274,0.76798,2.90E-01,241666465,HAT1,histone,acetyltransferase,1,,,,,,,,,,
ILMN_1844632,0.0087762,1.07E-04,-4.05626151,0.76771,-8.47E-02,22272163,PRKG1,protein,"kinase,","cGMP-dependent,",type,I,,,,,,,,
ILMN_1882482,0.0094514,1.25E-04,-4.01255389,0.763,-1.23E-01,4074515,,,,,,,,,,,,,,
ILMN_1658548,0.0086508,1.04E-04,-4.06590879,0.75884,-8.36E-02,NA,,,,,,,,,,,,,,
ILMN_2294274,0.0108448,1.63E-04,3.93941253,0.75575,2.28E-01,371122032,S100PBP,S100P,binding,protein,,,,,,,,,,
ILMN_1836776,0.0107237,1.60E-04,-3.94356663,0.75304,-1.83E-01,21749682,MPRIP,myosin,phosphatase,Rho,interacting,protein,,,,,,,,
ILMN_1692169,0.0087211,1.05E-04,4.0628074,0.74336,9.80E-02,335335009,NAA20,N(alpha)-acetyltransferase,"20,",NatB,catalytic,subunit,,,,,,,,
ILMN_1869938,0.008738,1.06E-04,-4.05902941,0.73297,-1.06E-01,6837419,,,,,,,,,,,,,,
ILMN_2374293,0.011079,1.68E-04,3.93051645,0.7285,2.47E-01,NA,,,,,,,,,,,,,,
ILMN_1866204,0.0087399,1.07E-04,4.05798436,0.72818,1.13E-01,23546946,,,,,,,,,,,,,,
ILMN_2408815,0.009536,1.28E-04,4.00782109,0.72561,1.61E-01,808154266,NAP1L1,nucleosome,assembly,protein,1,like,1,,,,,,,
ILMN_1671565,0.0104316,1.55E-04,-3.95406728,0.72207,-4.94E-01,156071486,RNASET2,ribonuclease,T2,,,,,,,,,,,
ILMN_1805180,0.0100755,1.44E-04,-3.97393491,0.71413,-1.09E-01,57222569,CDAN1,codanin,1,,,,,,,,,,,
ILMN_2146766,0.0093691,1.22E-04,4.02099394,0.70996,1.75E-01,323462197,FABP5,fatty,acid,binding,protein,5,,,,,,,,
ILMN_1831763,0.0108448,1.63E-04,-3.93893485,0.70388,-2.04E-01,21847910,,,,,,,,,,,,,,
ILMN_1656111,0.0113241,1.73E-04,3.92204212,0.70344,3.50E-01,38788242,MYLIP,myosin,regulatory,light,chain,interacting,protein,,,,,,,
ILMN_1794726,0.0113545,1.74E-04,3.92025666,0.69848,2.46E-01,998614182,RNF167,ring,finger,protein,167,,,,,,,,,
ILMN_1754501,0.011079,1.68E-04,3.93076996,0.69804,2.05E-01,938148785,C2orf74,chromosome,2,open,reading,frame,74,,,,,,,
ILMN_2114422,0.0113545,1.74E-04,-3.92061048,0.69361,-1.23E-01,194733754,NOD1,nucleotide,binding,oligomerization,domain,containing,1,,,,,,,
ILMN_1753426,0.0113726,1.75E-04,3.91816642,0.69283,1.45E-01,998429227,KIAA0556,KIAA0556,,,,,,,,,,,,
ILMN_2382724,0.0113726,1.75E-04,3.91862746,0.69232,2.26E-01,706715595,METTL23,methyltransferase,like,23,,,,,,,,,,
ILMN_1657665,0.0088952,1.10E-04,4.04801173,0.69156,1.03E-01,342349336,ZNF644,zinc,finger,protein,644,,,,,,,,,
ILMN_1665384,0.0113726,1.76E-04,-3.91795193,0.68164,-1.92E-01,24308302,SH3BP5L,SH3,binding,domain,protein,5,like,,,,,,,
ILMN_1794912,0.0110631,1.67E-04,3.93168736,0.67496,1.67E-01,51479151,ATP5H,ATP,"synthase,",H+,"transporting,",mitochondrial,Fo,complex,subunit,D,,,,
ILMN_1654939,0.011507,1.79E-04,3.9122562,0.67206,2.28E-01,118200338,TMED2,transmembrane,p24,trafficking,protein,2,,,,,,,,
ILMN_1902378,0.0094514,1.25E-04,-4.01356304,0.67134,-1.23E-01,83152776,,,,,,,,,,,,,,
ILMN_1904069,0.0090456,1.13E-04,-4.04106662,0.66979,-1.11E-01,18995125,,,,,,,,,,,,,,
ILMN_1793671,0.0090966,1.15E-04,4.03723663,0.66977,1.27E-01,296278213,TFDP2,transcription,factor,Dp-2,,,,,,,,,,
ILMN_1848843,0.0100755,1.44E-04,-3.97357014,0.66799,-1.43E-01,23368081,,,,,,,,,,,,,,
ILMN_1772260,0.0092178,1.17E-04,-4.03175143,0.66552,-1.04E-01,22027487,STEAP1,six,transmembrane,epithelial,antigen,of,the,prostate,1,,,,,
ILMN_1689420,0.0090562,1.14E-04,-4.03903143,0.66464,-8.95E-02,NA,,,,,,,,,,,,,,
ILMN_1667504,0.0090562,1.14E-04,4.03901215,0.65801,8.79E-02,291045227,TTN,titin,,,,,,,,,,,,
ILMN_1796075,0.0108896,1.64E-04,3.93730597,0.65268,1.23E-01,114199474,VPS41,"VPS41,",HOPS,complex,subunit,,,,,,,,,
ILMN_2381121,0.0108448,1.63E-04,3.93885366,0.64973,1.61E-01,296923775,UQCC1,ubiquinol-cytochrome,c,reductase,complex,assembly,factor,1,,,,,,
ILMN_1896406,0.011507,1.79E-04,-3.91281518,0.63421,-1.37E-01,47357169,ZXDA,zinc,"finger,","X-linked,",duplicated,A,,,,,,,,
ILMN_1761069,0.011507,1.79E-04,3.91291111,0.63311,1.80E-01,111160877,UVRAG,UV,radiation,resistance,associated,,,,,,,,,
ILMN_1806032,0.011507,1.79E-04,3.91223615,0.63108,1.39E-01,325974496,SLC25A16,solute,carrier,family,25,member,16,,,,,,,
ILMN_1694752,0.0116412,1.84E-04,-3.90467528,0.62923,-1.11E-01,NA,,,,,,,,,,,,,,
ILMN_1769705,0.0116719,1.85E-04,3.90302198,0.627,3.21E-01,188528666,H3F3C,H3,"histone,",family,3C,,,,,,,,,
ILMN_1685630,0.0113726,1.76E-04,3.91781249,0.62651,1.76E-01,1043392475,SIGLEC6,sialic,acid,binding,Ig,like,lectin,6,,,,,,
ILMN_1733333,0.0092705,1.20E-04,-4.02526464,0.6255,-1.08E-01,635574597,CALML3,calmodulin,like,3,,,,,,,,,,
ILMN_1705466,0.0102453,1.49E-04,3.96527675,0.62478,1.31E-01,216547852,ARHGAP36,Rho,GTPase,activating,protein,36,,,,,,,,
ILMN_1787511,0.0118002,1.89E-04,3.89772289,0.62329,1.72E-01,254553430,THUMPD2,THUMP,domain,containing,2,,,,,,,,,
ILMN_1674506,0.011833,1.90E-04,-3.89535021,0.62329,-1.62E-01,395455062,MED23,mediator,complex,subunit,23,,,,,,,,,
ILMN_1791211,0.0117554,1.87E-04,3.90062962,0.62257,2.64E-01,961441507,DOK2,docking,protein,2,,,,,,,,,,
ILMN_2400603,0.0094514,1.24E-04,4.01510599,0.62119,9.63E-02,89111121,TIRAP,TIR,domain,containing,adaptor,protein,,,,,,,,
ILMN_1868997,0.0094514,1.24E-04,-4.01541937,0.61891,-1.03E-01,3016608,,,,,,,,,,,,,,
ILMN_1701512,0.011833,1.90E-04,3.89560694,0.61328,1.59E-01,375493514,KIAA0391,KIAA0391,,,,,,,,,,,,
ILMN_1716816,0.0116412,1.83E-04,-3.90598267,0.61304,-1.89E-01,557128962,TMEM87A,transmembrane,protein,87A,,,,,,,,,,
ILMN_2095660,0.011833,1.93E-04,3.89177794,0.60843,3.15E-01,735366784,TMEM156,transmembrane,protein,156,,,,,,,,,,
ILMN_1774390,0.0098502,1.35E-04,-3.9914418,0.60744,-1.76E-01,NA,,,,,,,,,,,,,,
ILMN_1821855,0.0094514,1.24E-04,-4.01479895,0.60465,-1.12E-01,5765597,,,,,,,,,,,,,,
ILMN_2347888,0.011833,1.94E-04,3.88950982,0.60427,2.90E-01,283046700,LARP4,La,ribonucleoprotein,domain,family,member,4,,,,,,,
ILMN_1861477,0.0093891,1.22E-04,4.01995782,0.59952,9.58E-02,28315363,,,,,,,,,,,,,,
ILMN_2115696,0.011833,1.94E-04,-3.88964068,0.59889,-2.23E-01,134948692,USP42,ubiquitin,specific,peptidase,42,,,,,,,,,
ILMN_1876852,0.0100755,1.44E-04,-3.97373321,0.59774,-1.30E-01,7455305,LOC105377448,uncharacterized,LOC105377448,,,,,,,,,,,
ILMN_2330410,0.0113545,1.74E-04,3.92014648,0.59732,1.75E-01,557128985,EIF3C,eukaryotic,translation,initiation,factor,3,subunit,C,,,,,,
ILMN_1803882,0.0099893,1.39E-04,-3.98347836,0.5926,-1.54E-01,284172447,VEGFA,vascular,endothelial,growth,factor,A,,,,,,,,
ILMN_1909990,0.0098366,1.35E-04,-3.99278645,0.59253,-1.07E-01,27825481,,,,,,,,,,,,,,
ILMN_1738642,0.011833,1.94E-04,3.88920975,0.59071,2.51E-01,209915595,CMPK1,cytidine/uridine,monophosphate,kinase,1,,,,,,,,,
ILMN_1694504,0.011833,1.94E-04,-3.88937774,0.58941,-1.72E-01,985801716,RNF220,ring,finger,protein,220,,,,,,,,,
ILMN_1657983,0.011833,1.94E-04,-3.88988137,0.58834,-1.93E-01,294979143,TERF2IP,TERF2,interacting,protein,,,,,,,,,,
ILMN_1691276,0.011833,1.93E-04,-3.89078199,0.58342,-1.47E-01,156142179,CXXC1,CXXC,finger,protein,1,,,,,,,,,
ILMN_1872276,0.0105967,1.58E-04,-3.94769959,0.58252,-1.19E-01,58570995,MMAB,methylmalonic,aciduria,(cobalamin,deficiency),cblB,type,,,,,,,
ILMN_1708203,0.0119228,2.00E-04,-3.88145035,0.57887,-1.60E-01,NA,,,,,,,,,,,,,,
ILMN_1750876,0.011833,1.91E-04,3.89404185,0.57752,1.68E-01,155722989,SLC4A1AP,solute,carrier,family,4,member,1,adaptor,protein,,,,,
ILMN_1717229,0.011833,1.95E-04,3.88859759,0.57713,1.89E-01,63054818,AAED1,AhpC/TSA,antioxidant,enzyme,domain,containing,1,,,,,,,
ILMN_1901305,0.0104181,1.54E-04,-3.95499193,0.57696,-1.27E-01,5394444,POU6F2-AS1,POU6F2,antisense,RNA,1,,,,,,,,,
ILMN_2342841,0.011833,1.95E-04,3.88871314,0.57594,2.09E-01,300797512,AFTPH,aftiphilin,,,,,,,,,,,,
ILMN_2165473,0.0119228,1.99E-04,3.88269836,0.57587,1.95E-01,544186084,MID1IP1,MID1,interacting,protein,1,,,,,,,,,
ILMN_2379080,0.011833,1.93E-04,3.89070665,0.5751,2.04E-01,46447822,NFATC2IP,nuclear,factor,of,activated,T-cells,2,interacting,protein,,,,,
ILMN_1727618,0.0119228,2.00E-04,3.88107901,0.57091,1.62E-01,356582231,NDUFAF6,NADH:ubiquinone,oxidoreductase,complex,assembly,factor,6,,,,,,,
ILMN_1691117,0.0119228,2.00E-04,3.88090115,0.56872,2.06E-01,38505265,DNTTIP1,deoxynucleotidyltransferase,terminal,interacting,protein,1,,,,,,,,
ILMN_1659749,0.0100755,1.43E-04,-3.9765149,0.56766,-1.37E-01,975830143,DSP,desmoplakin,,,,,,,,,,,,
ILMN_1685540,0.0098931,1.37E-04,-3.98825972,0.56394,-1.16E-01,203098097,SHROOM3,shroom,family,member,3,,,,,,,,,
ILMN_1688160,0.0118927,1.97E-04,-3.88582307,0.55842,-1.98E-01,321400123,WDR27,WD,repeat,domain,27,,,,,,,,,
ILMN_2059535,0.0119228,1.99E-04,-3.88225886,0.55778,-3.24E-01,303519166,PPM1F,protein,"phosphatase,",Mg2+/Mn2+,dependent,1F,,,,,,,,
ILMN_1717770,0.0100755,1.42E-04,3.97745597,0.55131,9.53E-02,NA,,,,,,,,,,,,,,
ILMN_1693092,0.0098502,1.35E-04,-3.99166285,0.55085,-9.23E-02,NA,,,,,,,,,,,,,,
ILMN_1682567,0.0121487,2.06E-04,-3.8720887,0.55082,-2.35E-01,94536855,CCDC106,coiled-coil,domain,containing,106,,,,,,,,,
ILMN_2336647,0.0121527,2.07E-04,3.87165089,0.54987,2.32E-01,122939154,NNT,nicotinamide,nucleotide,transhydrogenase,,,,,,,,,,
ILMN_2111918,0.0121487,2.06E-04,-3.87266124,0.54686,-1.40E-01,145580589,PCNX4,pecanex,homolog,4,(Drosophila),,,,,,,,,
ILMN_2408968,0.0100755,1.42E-04,3.97857057,0.54509,1.06E-01,386869240,UEVLD,UEV,and,lactate/malate,dehyrogenase,domains,,,,,,,,
ILMN_1804895,0.0100755,1.43E-04,3.97537598,0.54483,1.14E-01,197333854,LSMEM1,leucine,rich,single-pass,membrane,protein,1,,,,,,,
ILMN_2066020,0.0119228,2.00E-04,3.88111845,0.54396,2.92E-01,325652030,TCEB1,transcription,elongation,factor,B,subunit,1,,,,,,,
ILMN_2402766,0.0121848,2.08E-04,3.8702117,0.53844,1.97E-01,300797490,AFTPH,aftiphilin,,,,,,,,,,,,
ILMN_1676588,0.0121487,2.05E-04,-3.87422449,0.5369,-2.15E-01,56119170,CEPT1,choline/ethanolamine,phosphotransferase,1,,,,,,,,,,
ILMN_1810810,0.0116719,1.85E-04,3.90329041,0.53275,1.96E-01,83367078,EEF1A1,eukaryotic,translation,elongation,factor,1,alpha,1,,,,,,
ILMN_2323302,0.0113726,1.76E-04,3.91799797,0.52674,1.39E-01,520261968,SON,SON,DNA,binding,protein,,,,,,,,,
ILMN_1879965,0.0097704,1.32E-04,-3.99762544,0.5239,-1.01E-01,78455564,,,,,,,,,,,,,,
ILMN_1812445,0.0124372,2.14E-04,3.86230659,0.52101,1.89E-01,345478660,PRPSAP2,phosphoribosyl,pyrophosphate,synthetase,associated,protein,2,,,,,,,
ILMN_1724658,0.0122572,2.10E-04,-3.86715193,0.51765,-5.76E-01,734703978,BNIP3,BCL2,interacting,protein,3,,,,,,,,,
ILMN_1685538,0.0121487,2.06E-04,3.87259995,0.51346,2.20E-01,NA,,,,,,,,,,,,,,
ILMN_1867777,0.0097871,1.33E-04,3.99554652,0.50953,1.01E-01,22846338,,,,,,,,,,,,,,
ILMN_1669189,0.0103935,1.53E-04,3.95666127,0.50707,1.45E-01,618857476,RASSF5,Ras,association,domain,family,member,5,,,,,,,
ILMN_1871177,0.0098502,1.35E-04,-3.99114287,0.50352,-1.05E-01,83131662,,,,,,,,,,,,,,
ILMN_2076658,0.0127366,2.22E-04,3.85136055,0.48689,2.79E-01,143770801,MRPL1,mitochondrial,ribosomal,protein,L1,,,,,,,,,
ILMN_1750079,0.0124838,2.16E-04,-3.85953753,0.48625,-1.49E-01,539847079,PURB,purine,rich,element,binding,protein,B,,,,,,,
ILMN_1722066,0.0127331,2.21E-04,3.85219013,0.4856,2.04E-01,557878643,ARMC1,armadillo,repeat,containing,1,,,,,,,,,
ILMN_1877529,0.0099733,1.38E-04,-3.98558333,0.48347,-8.92E-02,6074900,,,,,,,,,,,,,,
ILMN_1744752,0.0100586,1.41E-04,-3.97971155,0.48131,-1.03E-01,213417681,DISC2,disrupted,in,schizophrenia,2,(non-protein,coding),,,,,,,
ILMN_1744050,0.0099777,1.39E-04,3.98421655,0.48018,1.25E-01,224451091,ASB7,ankyrin,repeat,and,SOCS,box,containing,7,,,,,,
ILMN_1806778,0.0125488,2.17E-04,3.85771351,0.47451,1.87E-01,321117162,UBE2E1,ubiquitin,conjugating,enzyme,E2,E1,,,,,,,,
ILMN_1802292,0.0128077,2.27E-04,-3.84535854,0.46866,-1.80E-01,115298666,WDFY2,WD,repeat,and,FYVE,domain,containing,2,,,,,,
ILMN_1692707,0.0128077,2.26E-04,3.84607498,0.46842,1.91E-01,61966780,PTRHD1,peptidyl-tRNA,hydrolase,domain,containing,1,,,,,,,,
ILMN_1679641,0.0127331,2.21E-04,-3.85224943,0.46841,-2.36E-01,556503340,FAM120B,family,with,sequence,similarity,120B,,,,,,,,
ILMN_1653292,0.012764,2.24E-04,-3.84916066,0.46282,-7.92E-01,953266487,PFKFB4,"6-phosphofructo-2-kinase/fructose-2,6-biphosphatase",4,,,,,,,,,,,
ILMN_1729864,0.0101852,1.47E-04,-3.96749103,0.46076,-9.48E-02,93204869,PBOV1,prostate,and,breast,cancer,overexpressed,1,,,,,,,
ILMN_1882708,0.0106784,1.60E-04,3.94514571,0.45733,1.02E-01,80856651,,,,,,,,,,,,,,
ILMN_1680494,0.0100755,1.42E-04,3.97807767,0.45537,7.80E-02,217035101,CPSF7,cleavage,and,polyadenylation,specific,factor,7,,,,,,,
ILMN_1853632,0.0108448,1.63E-04,-3.93941162,0.45358,-1.28E-01,12358997,HPSE2,heparanase,2,(inactive),,,,,,,,,,
ILMN_1739541,0.0128142,2.27E-04,3.8446871,0.45211,3.19E-01,188219598,NMI,N-myc,and,STAT,interactor,,,,,,,,,
ILMN_1877514,0.0100755,1.44E-04,-3.97448565,0.44715,-1.13E-01,3838898,,,,,,,,,,,,,,
ILMN_1833851,0.0100755,1.44E-04,-3.97437209,0.44194,-1.14E-01,NA,,,,,,,,,,,,,,
ILMN_1821052,0.0101701,1.46E-04,-3.9692254,0.43023,-7.73E-02,13342750,,,,,,,,,,,,,,
ILMN_1746664,0.0131113,2.37E-04,3.83216119,0.42803,3.29E-01,514052671,WSB2,WD,repeat,and,SOCS,box,containing,2,,,,,,
ILMN_1715684,0.012764,2.24E-04,-3.84880856,0.42582,-3.50E-01,62868214,LAMB3,laminin,subunit,beta,3,,,,,,,,,
ILMN_1665540,0.0129536,2.33E-04,-3.83730999,0.41951,-1.59E-01,NA,,,,,,,,,,,,,,
ILMN_2399503,0.0131113,2.37E-04,-3.83188193,0.41858,-1.78E-01,568815599,UBN1,ubinuclein,1,,,,,,,,,,,
ILMN_1722634,0.0127366,2.22E-04,-3.85134416,0.41567,-2.21E-01,297374833,NUCB1,nucleobindin,1,,,,,,,,,,,
ILMN_1798533,0.0131226,2.39E-04,-3.83019263,0.41266,-1.71E-01,197304718,ZNF22,zinc,finger,protein,22,,,,,,,,,
ILMN_2169856,0.0131411,2.40E-04,3.82831976,0.41223,1.85E-01,555290069,C12orf43,chromosome,12,open,reading,frame,43,,,,,,,
ILMN_2414325,0.0131864,2.42E-04,3.82669041,0.40881,2.17E-01,558472791,TNFAIP8,TNF,alpha,induced,protein,8,,,,,,,,
ILMN_1791093,0.0131514,2.41E-04,3.82777463,0.40818,1.47E-01,41872348,PPHLN1,periphilin,1,,,,,,,,,,,
ILMN_1891048,0.0102824,1.49E-04,-3.96358675,0.40596,-9.24E-02,2069856,,,,,,,,,,,,,,
ILMN_1760933,0.0132794,2.44E-04,-3.82359589,0.40136,-1.90E-01,24797087,PEX10,peroxisomal,biogenesis,factor,10,,,,,,,,,
ILMN_1667000,0.0103601,1.52E-04,-3.95950944,0.39517,-9.46E-02,NA,,,,,,,,,,,,,,
ILMN_1735673,0.0109511,1.65E-04,-3.93532941,0.39265,-1.43E-01,NA,,,,,,,,,,,,,,
ILMN_1737953,0.0124589,2.14E-04,-3.86112548,0.39237,-1.25E-01,260064073,MKS1,Meckel,"syndrome,",type,1,,,,,,,,,
ILMN_1664369,0.0119228,1.99E-04,3.88240146,0.38663,1.36E-01,499590926,DHTKD1,dehydrogenase,E1,and,transketolase,domain,containing,1,,,,,,
ILMN_1857046,0.0105169,1.56E-04,-3.9513825,0.38637,-8.73E-02,3678322,,,,,,,,,,,,,,
ILMN_2160819,0.0127331,2.21E-04,-3.85236483,0.38158,-1.20E-01,197927095,RPS27,ribosomal,protein,S27,,,,,,,,,,
ILMN_2174081,0.0134709,2.49E-04,-3.81831062,0.38014,-1.45E-01,545479104,ZNF133,zinc,finger,protein,133,,,,,,,,,
ILMN_1717524,0.0135058,2.51E-04,-3.81629374,0.37903,-2.62E-01,171460935,LIPT1,lipoyltransferase,1,,,,,,,,,,,
ILMN_1695404,0.0135058,2.51E-04,3.81641672,0.37789,4.55E-01,187827163,LY6E,lymphocyte,antigen,6,"complex,",locus,E,,,,,,,
ILMN_1693045,0.0137014,2.58E-04,3.80819421,0.35487,1.86E-01,527498308,TMED1,transmembrane,p24,trafficking,protein,1,,,,,,,,
ILMN_2123119,0.0137468,2.60E-04,-3.80573602,0.34768,-1.52E-01,199560897,MFSD8,major,facilitator,superfamily,domain,containing,8,,,,,,,
ILMN_1700466,0.0121487,2.05E-04,3.87345796,0.34582,1.52E-01,NA,,,,,,,,,,,,,,
ILMN_1866887,0.0137468,2.62E-04,-3.80358541,0.34022,-1.74E-01,31874448,LMBRD2,LMBR1,domain,containing,2,,,,,,,,,
ILMN_1728710,0.0137468,2.63E-04,-3.8024916,0.33556,-2.85E-01,320461552,ZNF816,zinc,finger,protein,816,,,,,,,,,
ILMN_1804907,0.0109898,1.66E-04,-3.93395001,0.33127,-1.11E-01,52421330,OR1F2P,olfactory,receptor,family,1,subfamily,F,member,2,pseudogene,,,,
ILMN_1884750,0.0137468,2.63E-04,-3.80218079,0.33085,-2.17E-01,45703634,,,,,,,,,,,,,,
ILMN_1685742,0.0112716,1.71E-04,3.92482377,0.32989,1.08E-01,296531347,NIPA2,non,imprinted,in,Prader-Willi/Angelman,syndrome,2,,,,,,,
ILMN_1791217,0.0132794,2.45E-04,3.82338773,0.32931,1.93E-01,399154155,STRIP1,striatin,interacting,protein,1,,,,,,,,,
ILMN_1855746,0.0137816,2.65E-04,-3.79984934,0.32841,-2.41E-01,3387972,VPS13A,vacuolar,protein,sorting,13,homolog,A,,,,,,,
ILMN_1798270,0.0138367,2.67E-04,3.7980838,0.32339,3.02E-01,169234727,SMCO4,single-pass,membrane,protein,with,coiled-coil,domains,4,,,,,,
ILMN_1720889,0.0137468,2.63E-04,3.80221084,0.32304,2.78E-01,345525410,MSMO1,methylsterol,monooxygenase,1,,,,,,,,,,
ILMN_2394102,0.0116412,1.83E-04,3.90570626,0.32119,1.06E-01,89886476,STRN4,striatin,4,,,,,,,,,,,
ILMN_1667030,0.0137721,2.65E-04,-3.80060668,0.31868,-1.95E-01,388490200,HSBP1,heat,shock,factor,binding,protein,1,,,,,,,
ILMN_1715607,0.0138281,2.67E-04,3.79856925,0.31412,2.37E-01,315259102,CHMP4A,charged,multivesicular,body,protein,4A,,,,,,,,
ILMN_1730101,0.0139219,2.70E-04,-3.79508814,0.31238,-1.72E-01,291327520,GSPT2,G1,to,S,phase,transition,2,,,,,,,
ILMN_1736820,0.011833,1.95E-04,3.88891033,0.31051,1.20E-01,15718721,HIST1H2BM,histone,cluster,"1,",H2bm,,,,,,,,,
ILMN_1692322,0.0114012,1.76E-04,-3.91672557,0.30899,-1.02E-01,NA,,,,,,,,,,,,,,
ILMN_1753980,0.0139669,2.72E-04,-3.79293852,0.30838,-1.66E-01,53829384,LRRC37B,leucine,rich,repeat,containing,37B,,,,,,,,
ILMN_1810838,0.0139669,2.72E-04,3.7932417,0.30777,2.57E-01,223555916,MTDH,metadherin,,,,,,,,,,,,
ILMN_1797534,0.0140088,2.74E-04,-3.79085791,0.30252,-1.66E-01,23510355,RIOK1,RIO,kinase,1,,,,,,,,,,
ILMN_1710207,0.0139412,2.71E-04,-3.79438276,0.29954,-1.98E-01,150456435,SLF2,SMC5-SMC6,complex,localization,factor,2,,,,,,,,
ILMN_1716157,0.0131113,2.37E-04,3.83201318,0.29757,1.61E-01,542133147,UBAP2,ubiquitin,associated,protein,2,,,,,,,,,
ILMN_1655046,0.0133002,2.45E-04,3.82256028,0.29634,2.18E-01,1015144078,NUTF2,nuclear,transport,factor,2,,,,,,,,,
ILMN_1789059,0.0136581,2.56E-04,-3.81010688,0.29499,-1.22E-01,197304676,GDAP2,ganglioside,induced,differentiation,associated,protein,2,,,,,,,
ILMN_1689874,0.0111501,1.69E-04,3.92832586,0.29417,9.93E-02,84570136,HOXB3,homeobox,B3,,,,,,,,,,,
ILMN_1896697,0.011507,1.78E-04,-3.91373211,0.29336,-1.03E-01,21961450,LOC101928851,uncharacterized,LOC101928851,,,,,,,,,,,
ILMN_1686136,0.0128485,2.29E-04,3.84259916,0.2912,1.48E-01,182507166,NSD1,nuclear,receptor,binding,SET,domain,protein,1,,,,,,
ILMN_1871393,0.0112736,1.72E-04,-3.92406641,0.29119,-1.23E-01,7038763,,,,,,,,,,,,,,
ILMN_2407235,0.0140786,2.76E-04,3.78833551,0.28956,5.06E-01,NA,,,,,,,,,,,,,,
ILMN_1783805,0.0141539,2.79E-04,-3.78591968,0.28741,-5.07E-01,542133162,PNMA3,paraneoplastic,Ma,antigen,3,,,,,,,,,
ILMN_1709300,0.0116025,1.82E-04,3.90830977,0.28655,2.11E-01,28559032,IL5,interleukin,5,,,,,,,,,,,
ILMN_1691430,0.011833,1.93E-04,3.89184227,0.28178,9.25E-02,387912578,GSTCD,glutathione,S-transferase,C-terminal,domain,containing,,,,,,,,
ILMN_1880796,0.0119228,1.98E-04,-3.88322024,0.27936,-1.03E-01,9439006,DALIR,DNMT1-associated,long,intergenic,non-coding,RNA,,,,,,,,
ILMN_1916224,0.0117719,1.87E-04,-3.89950019,0.27631,-9.48E-02,27844046,,,,,,,,,,,,,,
ILMN_2315694,0.0141987,2.81E-04,3.78374559,0.27622,1.50E-01,260166662,STRADA,STE20-related,kinase,adaptor,alpha,,,,,,,,,
ILMN_1795349,0.0122644,2.10E-04,-3.86664316,0.27604,-1.01E-01,NA,,,,,,,,,,,,,,
ILMN_1708502,0.0136008,2.54E-04,3.81206014,0.27521,1.96E-01,98985830,AFF4,AF4/FMR2,family,member,4,,,,,,,,,
ILMN_1818502,0.0112716,1.72E-04,-3.92449779,0.27228,-9.72E-02,27823940,LOC102724053,uncharacterized,LOC102724053,,,,,,,,,,,
ILMN_1884821,0.0113241,1.73E-04,-3.92228842,0.27183,-9.72E-02,28290345,,,,,,,,,,,,,,
ILMN_2202940,0.0141539,2.79E-04,3.7854633,0.27102,3.18E-01,50726995,CHPT1,choline,phosphotransferase,1,,,,,,,,,,
ILMN_1811188,0.0143379,2.85E-04,3.77903112,0.26669,2.76E-01,169790845,BCCIP,BRCA2,and,CDKN1A,interacting,protein,,,,,,,,
ILMN_1844290,0.0137468,2.62E-04,-3.80335362,0.26644,-1.40E-01,22911320,,,,,,,,,,,,,,
ILMN_1879326,0.0128846,2.30E-04,-3.84127213,0.26618,-1.60E-01,21856024,,,,,,,,,,,,,,
ILMN_1767523,0.0141987,2.81E-04,3.78364895,0.26175,1.23,NA,,,,,,,,,,,,,,
ILMN_1756162,0.0143559,2.86E-04,3.77820595,0.25507,3.04E-01,224465145,EXOSC8,exosome,component,8,,,,,,,,,,
ILMN_1903036,0.0116412,1.84E-04,-3.90450387,0.24928,-1.13E-01,1180414,,,,,,,,,,,,,,
ILMN_1862644,0.0116412,1.83E-04,-3.90624828,0.24828,-8.63E-02,3836132,,,,,,,,,,,,,,
ILMN_1690532,0.0137468,2.60E-04,-3.80545497,0.24823,-2.26E-01,NA,,,,,,,,,,,,,,
ILMN_1760595,0.0115344,1.80E-04,3.91118825,0.24507,1.34E-01,NA,,,,,,,,,,,,,,
ILMN_1827779,0.0116412,1.84E-04,-3.90524999,0.24253,-7.96E-02,10435407,,,,,,,,,,,,,,
ILMN_2184789,0.014548,2.92E-04,3.77184598,0.24161,1.95E-01,970949432,HSCB,HscB,mitochondrial,iron-sulfur,cluster,cochaperone,,,,,,,,
ILMN_1704377,0.011833,1.94E-04,-3.89011041,0.24082,-9.38E-02,532524929,USP27X,ubiquitin,specific,peptidase,"27,",X-linked,,,,,,,,
ILMN_1668985,0.0129508,2.32E-04,-3.83832043,0.23788,-1.48E-01,NA,,,,,,,,,,,,,,
ILMN_1729495,0.0146067,2.95E-04,3.76949938,0.23787,1.78E-01,350276165,TRIM41,tripartite,motif,containing,41,,,,,,,,,
ILMN_1744949,0.0143379,2.85E-04,-3.77909739,0.23765,-2.94E-01,115430107,RHOBTB3,Rho,related,BTB,domain,containing,3,,,,,,,
ILMN_2096985,0.0136581,2.56E-04,3.8099027,0.23714,1.45E-01,515870063,ALDH6A1,aldehyde,dehydrogenase,6,family,member,A1,,,,,,,
ILMN_1749304,0.0137468,2.61E-04,-3.80515894,0.23618,-1.89E-01,NA,,,,,,,,,,,,,,
